Complexity metrics,Sex, 27 out 2017 13:55:11 BRST
Method,ev(G),iv(G),v(G)
"gnu.regexp.RESyntax.set(int)",2,1,2
"gnu.regexp.RESyntax.setLineSeparator(String)",2,1,2
"gnu.regexp.REToken.REToken(int)",1,1,1
"gnu.regexp.REToken.chain(REToken)",1,1,1
"gnu.regexp.REToken.dumpAll(StringBuffer)",1,2,2
"gnu.regexp.REToken.getMinimumLength()",1,1,1
"gnu.regexp.REToken.next(CharIndexed,REMatch)",3,3,3
"gnu.regexp.REToken.setUncle(REToken)",1,1,1
"gnu.regexp.RETokenAny.RETokenAny(int,boolean,boolean)",1,1,1
"gnu.regexp.RETokenAny.dump(StringBuffer)",1,1,1
"gnu.regexp.RETokenAny.getMinimumLength()",1,1,1
"gnu.regexp.RETokenAny.match(CharIndexed,REMatch)",2,1,6
"gnu.regexp.RETokenBackRef.RETokenBackRef(int,int,boolean)",1,1,1
"gnu.regexp.RETokenBackRef.dump(StringBuffer)",1,1,1
"gnu.regexp.RETokenBackRef.match(CharIndexed,REMatch)",4,2,5
"gnu.regexp.RETokenChar.RETokenChar(int,char,boolean)",1,2,2
"gnu.regexp.RETokenChar.chain(REToken)",2,2,2
"gnu.regexp.RETokenChar.dump(StringBuffer)",1,1,1
"gnu.regexp.RETokenChar.getMinimumLength()",1,1,1
"gnu.regexp.RETokenChar.match(CharIndexed,REMatch)",3,3,4
"gnu.regexp.RETokenEnd.RETokenEnd(int,String)",1,1,1
"gnu.regexp.RETokenEnd.dump(StringBuffer)",1,1,1
"gnu.regexp.RETokenEnd.match(CharIndexed,REMatch)",5,5,6
"gnu.regexp.RETokenEndSub.RETokenEndSub(int)",1,1,1
"gnu.regexp.RETokenEndSub.dump(StringBuffer)",1,1,1
"gnu.regexp.RETokenEndSub.match(CharIndexed,REMatch)",1,1,1
