Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.hive.hcatalog.data.transfer.WriterContext",0,0,0,5,9
"org.apache.hive.hcatalog.data.transfer.state.StateProvider",0,0,0,5,11
"org.apache.hive.hcatalog.streaming.RecordWriter",0,0,0,0,0
"org.apache.hive.hcatalog.streaming.StreamingConnection",0,0,0,0,0
"org.apache.hive.hcatalog.streaming.TransactionBatch",0,1,1,0,0
"org.apache.hive.hcatalog.templeton.ExecService",0,0,0,1,1
"org.apache.hive.hcatalog.templeton.tool.JobSubmissionConstants",0,0,0,2,2
"org.apache.hive.hcatalog.templeton.tool.JobSubmissionConstants.PigConstants",0,0,0,1,1
"org.apache.hive.hcatalog.templeton.tool.TempletonStorage",0,1,1,1,4
"org.apache.hive.ptest.api.response.GenericResponse",0,1,2,2,3
"org.apache.hive.ptest.execution.HostExecutorBuilder",0,1,1,0,0
"org.apache.hive.ptest.execution.LocalCommand.OutputPolicy",0,0,0,3,20
"org.apache.hive.ptest.execution.conf.TestBatch",0,0,0,4,4
"org.apache.hive.ptest.execution.context.ExecutionContextProvider",0,0,0,6,7
"org.apache.hive.ptest.execution.context.ExecutionContextProvider.Builder",0,2,2,1,6
"org.apache.hive.ptest.execution.ssh.RemoteCommandResult",0,0,0,2,2
"org.apache.hive.service.Service",0,2,16,2,20
"org.apache.hive.service.ServiceStateChangeListener",0,0,0,0,0
"org.apache.hive.service.auth.PasswdAuthenticationProvider",0,0,0,1,2
"org.apache.hive.service.cli.ICLIService",0,1,2.010,1,11
"org.apache.hive.service.cli.RowSet",0,1,6,12,54
"org.apache.hive.service.cli.operation.TableTypeMapping",0,0,0,0,0
"org.apache.hive.service.cli.session.HiveSession",4,2,2.009,13,75
"org.apache.hive.service.cli.session.HiveSessionBase",0,5,2.010,0,0
"org.apache.hive.service.cli.session.HiveSessionHook",0,2,10,2,4
"org.apache.hive.service.cli.session.HiveSessionHookContext",0,1,15,2,4
"org.apache.hive.service.cli.thrift.TCLIService.AsyncIface",0,19,249,1,2
"org.apache.hive.service.cli.thrift.TCLIService.Iface",0,0,0,31,126

